Log began at 2020-10-16-15-23-98-986
=> process: 2020-10-16-15-24-08-089; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-15-24-25-259; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks/413d22eb-64f5-4ac4-89b8-b9bd9b8a7563; method:PUT query params:null; body: id:413d22eb-64f5-4ac4-89b8-b9bd9b8a7563 title:Autotest updated task order:0 description:Lorem ipsum userId:null boardId:e981697a-7788-4d29-bde2-7498b6c5a68e columnId:null
=> process: 2020-10-16-15-24-26-261; url:/boards/c7a1dc7d-e9e0-450a-adae-93f0838ceeec; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-26-266; url:/users; method:POST query params:null; body: name:TEST_USER login:test_user password:T35t_P@55w0rd
=> process: 2020-10-16-15-24-26-267; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks/413d22eb-64f5-4ac4-89b8-b9bd9b8a7563; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-27-275; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-15-24-27-278; url:/users/e1ec3f20-56f8-41ae-a9be-454dd49ee2c2; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-28-280; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks/9f3e0eec-734e-411d-8565-8dcb4d453181; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-28-284; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks; method:POST query params:null; body: title:Task #1 order:1 description:Lorem ipsum boardId:05fa3904-03ff-4209-8d32-92d5f6d7ac0d userId:null columnId:null
=> process: 2020-10-16-15-24-28-286; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks; method:POST query params:null; body: title:Task #2 order:2 description:Lorem ipsum boardId:05fa3904-03ff-4209-8d32-92d5f6d7ac0d userId:null columnId:null
=> process: 2020-10-16-15-24-28-287; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks; method:POST query params:null; body: title:Task #3 order:3 description:Lorem ipsum boardId:05fa3904-03ff-4209-8d32-92d5f6d7ac0d userId:null columnId:null
=> process: 2020-10-16-15-24-28-288; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks; method:POST query params:null; body: title:Task #4 order:4 description:Lorem ipsum boardId:05fa3904-03ff-4209-8d32-92d5f6d7ac0d userId:null columnId:null
=> process: 2020-10-16-15-24-29-290; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks; method:POST query params:null; body: title:Task #5 order:5 description:Lorem ipsum boardId:05fa3904-03ff-4209-8d32-92d5f6d7ac0d userId:null columnId:null
=> process: 2020-10-16-15-24-29-292; url:/users; method:POST query params:null; body: name:TEST_USER login:test_user password:T35t_P@55w0rd
=> process: 2020-10-16-15-24-29-294; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks/9f3e0eec-734e-411d-8565-8dcb4d453181; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-29-297; url:/boards; method:POST query params:null; body: title:Autotest board columns:  title:Backlog order:1  title:Sprint order:2
=> process: 2020-10-16-15-24-29-299; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e/tasks/9f3e0eec-734e-411d-8565-8dcb4d453181; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-30-304; url:/boards/44e8a432-7c4b-44cb-a596-6ecea19a3e76/tasks; method:POST query params:null; body: title:Task #1 order:1 description:Lorem ipsum userId:89111110-97bc-4276-9dae-3eaf3aecfa87 boardId:44e8a432-7c4b-44cb-a596-6ecea19a3e76
=> process: 2020-10-16-15-24-30-306; url:/boards/44e8a432-7c4b-44cb-a596-6ecea19a3e76/tasks; method:POST query params:null; body: title:Task #2 order:2 description:Lorem ipsum userId:89111110-97bc-4276-9dae-3eaf3aecfa87 boardId:44e8a432-7c4b-44cb-a596-6ecea19a3e76
=> process: 2020-10-16-15-24-30-309; url:/boards/e981697a-7788-4d29-bde2-7498b6c5a68e; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-31-310; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks/909a3a13-8ff5-48ff-84e1-04c3641c675e; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-31-312; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks/f7f0c2d3-856b-45ed-b402-18264ea1946a; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-31-314; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks/cf822012-6602-46c2-8901-a777d787296b; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-31-315; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks/75c31561-5afe-4b85-83c5-1d569c6947a2; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-31-318; url:/users/89111110-97bc-4276-9dae-3eaf3aecfa87; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-31-319; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks/65d09d69-832f-4471-9402-52cc4c43d68e; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-32-325; url:/boards/44e8a432-7c4b-44cb-a596-6ecea19a3e76/tasks/55db6f9d-cd2d-474f-b61f-81d8a640037c; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-32-329; url:/boards/44e8a432-7c4b-44cb-a596-6ecea19a3e76/tasks/bfb132f5-ed70-4f8a-a9a5-6d24807a81d0; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-33-330; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-33-335; url:/boards/44e8a432-7c4b-44cb-a596-6ecea19a3e76/tasks/55db6f9d-cd2d-474f-b61f-81d8a640037c; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-33-336; url:/boards/44e8a432-7c4b-44cb-a596-6ecea19a3e76/tasks/bfb132f5-ed70-4f8a-a9a5-6d24807a81d0; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-34-341; url:/boards/44e8a432-7c4b-44cb-a596-6ecea19a3e76; method:DELETE query params:null; body:null
=> process: 2020-10-16-15-24-34-349; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks/909a3a13-8ff5-48ff-84e1-04c3641c675e; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-35-350; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks/f7f0c2d3-856b-45ed-b402-18264ea1946a; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-35-351; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks/cf822012-6602-46c2-8901-a777d787296b; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-35-351; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks/75c31561-5afe-4b85-83c5-1d569c6947a2; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-35-353; url:/boards/05fa3904-03ff-4209-8d32-92d5f6d7ac0d/tasks/65d09d69-832f-4471-9402-52cc4c43d68e; method:GET query params:null; body:null
=> process: 2020-10-16-15-24-35-357; url:/boards/77c1039c-7fa1-40fd-9761-bf0c2c39b11e; method:DELETE query params:null; body:null
